 ID do Estudante; Idade; Gênero; Etnia; Escolaridade dos Pais; Tempo de Estudo Semanal; Faltas; Aulas de Reforço; Apoio dos Pais; Atividades Extracurriculares; Esportes; Música; Voluntariado; Média de Notas;Nota Considerada
1001;17;Feminino;Negro;Graduação;16;13;Não;Moderado;Não;Não;Não;Não;3,158425338;B
1002;18;Feminino;Asiático;Nenhum;17;28;Não;Moderado;Sim;Sim;Sim;Não;2,794654747;C
1003;15;Feminino;Caucasiano;Ensino Médio;13;18;Sim;Muito Alto;Não;Não;Não;Sim;3,774846576;A
1004;17;Feminino;Caucasiano;Graduação;6;4;Não;Alto;Sim;Não;Não;Não;3,040574279;B
1005;17;Masculino;Negro;Ensino Superior Incompleto;6;20;Não;Muito Alto;Não;Não;Não;Não;3,38230992;B
1006;18;Masculino;Outro;Pós-graduação;13;23;Sim;Moderado;Sim;Não;Sim;Não;4;A
1007;15;Feminino;Caucasiano;Graduação;14;25;Não;Moderado;Sim;Não;Sim;Sim;3,009268482;B
1008;15;Masculino;Caucasiano;Pós-graduação;11;8;Não;Alto;Não;Não;Sim;Sim;4;A
1009;17;Feminino;Negro;Ensino Médio;11;23;Não;Moderado;Não;Não;Não;Não;3,944525495;A
1010;16;Feminino;Outro;Pós-graduação;7;11;Não;Alto;Não;Sim;Sim;Sim;2,735138154;C
1011;17;Masculino;Asiático;Ensino Médio;15;15;Não;Moderado;Sim;Sim;Não;Não;3,413573202;B
1012;17;Feminino;Outro;Pós-graduação;8;18;Não;Moderado;Sim;Não;Não;Não;4;A
1013;17;Masculino;Caucasiano;Ensino Médio;1;14;Não;Muito Alto;Não;Não;Não;Não;2,286981785;D
1014;17;Feminino;Caucasiano;Ensino Superior Incompleto;13;16;Não;Alto;Sim;Não;Sim;Não;3,470706446;B
1015;18;Feminino;Negro;Graduação;15;29;Não;Baixo;Não;Sim;Não;Não;2,843756721;C
1016;15;Feminino;Asiático;Ensino Superior Incompleto;4;14;Não;Muito Alto;Sim;Não;Não;Sim;3,849988937;A
1017;18;Masculino;Caucasiano;Ensino Superior Incompleto;4;2;Não;Alto;Sim;Sim;Não;Não;2,814171388;C
1018;18;Masculino;Caucasiano;Pós-graduação;19;16;Não;Alto;Sim;Não;Sim;Sim;3,263020138;B
1019;18;Feminino;Asiático;Ensino Superior Incompleto;20;12;Não;Moderado;Sim;Não;Não;Não;3,241106571;B
1020;17;Feminino;Caucasiano;Graduação;17;26;Não;Moderado;Sim;Não;Sim;Sim;2,653259721;C
1021;16;Feminino;Caucasiano;Nenhum;17;8;Não;Muito Alto;Sim;Sim;Sim;Não;3,575574036;A
1022;15;Masculino;Negro;Graduação;4;27;Não;Moderado;Sim;Sim;Sim;Não;2,69644174;C
1023;16;Masculino;Negro;Graduação;10;12;Não;Baixo;Não;Sim;Não;Não;3,65378465;A
1024;18;Masculino;Asiático;Ensino Superior Incompleto;12;15;Não;Moderado;Não;Sim;Sim;Não;3,110618264;B
1025;18;Feminino;Caucasiano;Nenhum;2;18;Não;Nenhum;Não;Não;Não;Sim;2,452458663;D
1026;16;Masculino;Negro;Ensino Superior Incompleto;16;13;Não;Alto;Sim;Não;Não;Não;4;A
1027;16;Masculino;Negro;Nenhum;17;7;Sim;Baixo;Não;Não;Sim;Não;3,89043692;A
1028;16;Feminino;Negro;Nenhum;13;21;Não;Moderado;Não;Sim;Não;Não;3,399555458;B
1029;18;Masculino;Negro;Graduação;11;18;Não;Muito Alto;Não;Não;Sim;Sim;3,445947128;B
1030;18;Feminino;Caucasiano;Ensino Médio;13;24;Sim;Moderado;Sim;Sim;Sim;Não;3,859446752;A
1031;15;Feminino;Caucasiano;Ensino Médio;17;23;Não;Moderado;Sim;Não;Sim;Não;2,776963726;C
1032;15;Feminino;Caucasiano;Graduação;19;2;Sim;Moderado;Não;Sim;Não;Sim;4;A
1033;18;Masculino;Caucasiano;Nenhum;1;22;Sim;Baixo;Sim;Sim;Sim;Sim;3,398856584;B
1034;16;Masculino;Negro;Ensino Médio;6;20;Não;Nenhum;Não;Sim;Não;Sim;2,500520348;C
1035;16;Feminino;Asiático;Ensino Médio;14;17;Sim;Alto;Não;Sim;Não;Não;3,420183814;B
